Model,Exclusion Interval,Metric,6,12,36,60,120
transformer,3,fpr,89.61% (76.71%-93.38%),65.45% (2.41%-83.40%),36.05% (0.00%-73.78%),35.04% (0.00%-45.09%),31.25% (21.51%-68.78%)
transformer,3,precision,30.8% (16.9%-50.0%),40.9% (28.9%-56.8%),47.5% (38.7%-63.0%),51.5% (43.7%-59.2%),71.0% (63.4%-81.6%)
transformer,3,recall,60.0% (38.5%-83.4%),65.6% (47.8%-100.0%),84.4% (60.8%-100.0%),86.0% (80.2%-100.0%),100.0% (84.1%-100.0%)
transformer,12,fpr,-,-,84.07% (23.20%-93.30%),46.72% (16.65%-61.72%),39.19% (26.45%-68.47%)
transformer,12,precision,-,-,50.0% (29.8%-72.6%),57.1% (47.1%-66.2%),76.5% (69.5%-84.0%)
transformer,12,recall,-,-,54.0% (38.3%-98.4%),87.7% (78.9%-100.0%),97.9% (87.4%-100.0%)
transformer known risk,3,fpr,4.72% (1.72%-29.26%),4.87% (1.34%-9.45%),0.00% (0.00%-8.85%),0.00% (0.00%-13.21%),0.00% (0.00%-0.00%)
transformer known risk,3,precision,3.8% (1.7%-6.8%),6.5% (4.0%-10.6%),33.8% (27.9%-40.0%),45.8% (40.0%-52.9%),62.2% (56.0%-68.0%)
transformer known risk,3,recall,100.0% (83.3%-100.0%),100.0% (100.0%-100.0%),100.0% (95.6%-100.0%),100.0% (95.0%-100.0%),100.0% (100.0%-100.0%)
transformer known risk,12,fpr,-,-,20.83% (1.07%-78.48%),16.03% (0.59%-31.69%),3.75% (0.00%-15.80%)
transformer known risk,12,precision,-,-,26.3% (20.5%-38.6%),37.1% (30.0%-42.6%),62.1% (54.8%-68.6%)
transformer known risk,12,recall,-,-,91.2% (45.3%-100.0%),94.1% (82.9%-100.0%),100.0% (96.3%-100.0%)
